grid,stake,comments,geometry
KL,-49,"",660594.977095361|6761798.77858693
KL,-410,"",660610.644315044|6761824.02567487
KL,-411,"",660628.136542459|6761844.89420034
KL,-412,"",660642.922706469|6761865.64020129
KL,-413,"",660659.873357149|6761886.48436684
KL,-414,"",660679.378273688|6761910.79040213
KL,-415,"",660701.840992991|6761929.65396507
KL,-30,"",660514.614785798|6761585.45681894
KL,-31,"",660480.367242355|6761587.25248234
KL,-32,"",660492.701335792|6761602.31008949
KL,-33,"",660508.030617763|6761623.07999843
KL,-34,"",660525.864147007|6761648.42469595
KL,-35,Stake Broken,660543.156209586|6761673.74498017
KL,-36,"",660560.498420132|6761697.9523031
KL,-37,"",660579.853907316|6761725.59691252
KL,-38,"",660595.723285449|6761746.3917296
KL,-39,"",660613.152100996|6761780.64127977
KL,-310,"",660630.204237287|6761799.2591959
KL,-311,"",660650.691363281|6761825.84020155
KL,-312,"",660666.069108894|6761845.49777446
KL,-313,"",660681.937398644|6761866.2929936
KL,-314,"",660694.558492594|6761886.94110204
KL,-315,"",660718.984112044|6761910.35508866
KL,-20,"",660486.372521288|6761538.44975843
KL,-21,"",660497.221263245|6761562.36278439
KL,-22,"",660514.954432627|6761589.93352083
KL,-23,"",660532.939297917|6761611.93910179
KL,-24,"",660622.803364192|6761639.43117681
KL,-25,"",660569.839509272|6761659.3387176
KL,-26,"",660588.754803679|6761684.73276292
KL,-27,"",660606.147078352|6761707.82726502
KL,-28,"",660624.860116916|6761737.67370757
KL,-29,"",660645.008239452|6761759.77795815
KL,-210,"",660657.730861515|6761778.19982812
KL,-211,"",660673.549093795|6761800.10805248
KL,-212,"",660685.73023087|6761818.50550039
KL,-213,"",660707.638529095|6761849.61262399
KL,-214,"",660724.336593409|6761876.02234269
KL,-215,"",660736.856476524|6761898.89670182
KL,-10,Stake Missing,5223035.89156277|-19995929.6093672
KL,-11,Broken,660522.533453607|6761542.31740881
KL,-12,"",660544.15585648|6761567.8337196
KL,-13,"",660557.269767211|6761589.61886556
KL,-14,"",660575.405617775|6761608.28551684
KL,-15,"",660598.109621687|6761633.85119238
KL,-16,"",660613.337313709|6761656.84766568
KL,-17,"",660632.15146687|6761684.46804459
KL,-18,"",660646.635762739|6761711.89234266
KL,-19,"",660665.109907981|6761735.03618735
KL,-110,"",660681.519949977|6761755.85592175
KL,-111,"",660697.929791814|6761776.67573506
KL,-112,"",660715.407933709|6761809.81275595
KL,-113,"",660730.482635703|6761836.14890059
KL,-114,"",660747.873189852|6761859.24412337
KL,-115,"",660772.349167135|6761881.54543139
KL,0,"",660524.939214979|6761501.15907231
KL,1,Stake Broken,660547.254305022|6761523.36075242
KL,2,"",660563.514891328|6761547.51906309
KL,3,"",660585.136979859|6761573.03562832
KL,4,"",660603.56190145|6761597.29218366
KL,5,"",660623.660608564|6761620.50934683
KL,6,"",660638.686482941|6761647.9581258
KL,7,"",660659.32585212|6761671.20002069
KL,8,"",660674.452092547|6761696.42286189
KL,9,"",660692.926156382|6761719.56685259
KL,10,"",660710.959692346|6761740.46031447
KL,11,"",660726.085234441|6761765.68338637
KL,12,"",660743.476207927|6761788.77858117
KL,13,Stake Missing,660762.829766128|6761816.42421763
KL,14,Stake Missing,660777.904096226|6761842.76056922
KL,15,"",660794.111010685|6761868.0330324
KL,A0,Stake Broken,660547.394629623|6761484.33049861
KL,A1,"",660571.484601607|6761503.26670474
KL,A2,"",660587.254327431|6761526.28756462
KL,A3,"",660605.138292326|6761550.51961075
KL,A4,"",660621.398358354|6761574.67819446
KL,A5,"",660642.919004147|6761602.42121834
KL,A6,"",660658.146573885|6761625.41788562
KL,A7,"",660676.570712205|6761649.67483186
KL,A8,"",660696.416386551|6761678.45766101
KL,A9,"",660712.234898485|6761700.3660534
KL,A10,"",660729.525398761|6761725.68726912
KL,A11,"",660749.672982426|6761747.79212216
KL,A12,"",660768.636989583|6761772.07410509
KL,A13,"",660789.173788545|6761797.54287472
KL,A14,"",660804.890175186|6761821.67779238
KL,A15,"",660819.033306603|6761844.62608739
KL,A16,"",660842.275138875|6761870.21792523
KL,A17,"",660859.073139511|6761894.40220013
KL,A18,"",660877.544898284|6761917.5471869
KL,A19,"",660893.361127278|6761939.45642134
KL,A20,"",660910.259463837|6761961.41485644
KL,B0,"",660580.247732368|6761453.47362943
KL,B1,"",660594.091484167|6761483.09927577
KL,B2,"",660619.300685343|6761513.23984462
KL,B3,Stake Broken,660633.006036902|6761533.93674275
KL,B4,"",660650.839226804|6761559.28207306
KL,B5,"",660666.167838426|6761580.052675
KL,B6,"",660683.307993195|6761608.7127958
KL,B7,"",660701.63116463|6761635.19596971
KL,B8,"",660722.458224076|6761666.25410466
KL,B9,"",660737.987762789|6761682.57283911
KL,B10,"",660756.071727165|6761702.35348302
KL,B11,"",660774.9854917|6761727.74854396
KL,B12,"",660791.041592003|6761756.36012576
KL,B13,Repaint,660811.138133178|6761779.57838355
KL,B14,"",660826.803975599|6761804.82644609
KL,B15,"",660844.634285136|6761830.17279399
KL,B16,"",660862.51483253|6761854.40618895
KL,B17,Stake Broken,660879.514831326|6761874.13837449
KL,B18,"",660895.23023683|6761898.2737071
KL,B19,"",660909.812570734|6761923.47303182
KL,B20,"",660925.57805278|6761946.49545943
KL,C0,"",660609.48767636|6761442.52935178
KL,C1,"",660622.537898239|6761477.69583969
KL,C2,"",660637.967925294|6761496.24021368
KL,C3,"",660657.96618903|6761521.68366203
KL,C4,"",660676.390939315|6761545.94059794
KL,C5,"",660694.714532024|6761572.42372965
KL,C6,Stake Broken,660711.125258125|6761593.24359043
KL,C7,"",660730.03999014|6761618.63839706
KL,C8,"",660748.413235168|6761644.00877053
KL,C9,"",660763.740886139|6761664.77980847
KL,C10,"",660782.994113719|6761694.65164028
KL,C11,"",660803.682772491|6761716.78134548
KL,C12,"",660819.449968195|6761739.8032754
KL,C13,"",660840.174339969|6761773.08822098
KL,C14,"",660851.322893966|6761790.32409614
KL,C15,"",660876.866719295|6761824.94330462
KL,C16,"",660889.977555722|6761846.72972633
KL,C17,"",660906.977451256|6761866.462045
KL,C18,"",660919.005595952|6761888.19945365
KL,C19,"",660938.119243944|6761909.14323335
KL,C20,Stake Broken,660949.317380837|6761925.2663849
KL,D0,"",660621.357822697|6761431.91373106
KL,D1,"",660643.975402177|6761447.43772789
KL,D2,"",660659.744963544|6761470.45891215
KL,D3,"",660675.752895631|6761500.18298586
KL,D4,"",660698.016660763|6761523.49867572
KL,D5,"",660718.555560694|6761548.96700467
KL,D6,"",660733.782926017|6761571.96399934
KL,D7,"",660752.358284913|6761592.88219823
KL,D8,"",660772.304681817|6761619.43935962
KL,D9,"",660785.8572737|6761643.47601031
KL,D10,"",660811.063654945|6761673.61798405
KL,D11,"",660828.014400988|6761694.46295113
KL,D12,"",660845.946332504|6761717.58320206
KL,D13,"",660866.0932838|6761739.68872571
KL,D14,"",660885.648279982|6761762.88285449
KL,D15,"",660899.401547101|6761782.46777433
KL,D16,"",660907.742850426|6761801.8071169
KL,D17,"",660931.272935759|6761832.98933629
KL,D18,"",660948.121091306|6761856.06099225
KL,D19,"",660967.03261548|6761881.45711067
KL,D20,"",660981.12391899|6761905.51911661
KL,E0,"",660646.859846295|6761419.68508214
KL,E1,"",660666.670355564|6761437.31271083
KL,E2,"",660686.026681655|6761464.95788594
KL,E3,"",660702.626106343|6761493.59356376
KL,E4,"",660723.417446666|6761513.49667807
KL,E5,Broken,660738.443115244|6761540.94588182
KL,E6,"",660761.738174888|6761565.42410259
KL,E7,"",660778.14856407|6761586.24427836
KL,E8,"",660798.347222626|6761607.2363514
KL,E9,"",660816.518122022|6761637.0592721
KL,E10,"",660834.99165483|6761660.20401028
KL,E11,"",660851.300143719|6761683.2506317
KL,E12,Repaint,660863.921051513|6761703.8993446
KL,E13,"",660887.892408782|6761737.33190883
KL,E14,"",660901.104590226|6761756.89227397
KL,E15,"",660918.256472257|6761773.28550153
KL,E16,"",660937.269756929|6761796.45535837
KL,E17,"",660950.719408874|6761822.71875889
KL,E18,"",660966.384076292|6761847.9674552
KL,E19,"",660985.937783348|6761871.1621562
KL,E20,"",661001.955808744|6761888.61969868
KL,F0,"",660915.544512788|6761570.17073097
KL,F1,"",660694.30067387|6761414.02749403
KL,F2,"",660711.051665009|6761439.32406359
KL,F3,"",660728.444547549|6761462.41915543
KL,F4,"",660745.685808227|6761488.85347865
KL,F5,"",660764.059713219|6761514.22392291
KL,F6,"",660780.86015626|6761538.40779006
KL,F7,"",660800.857178431|6761563.85206232
KL,F8,"",660821.496090108|6761587.09490732
KL,F9,"",660836.282403429|6761607.8417111
KL,F10,"",660856.617814613|6761637.76304888
KL,F11,"",660874.70140955|6761657.54430297
KL,F12,"",660890.858133255|6761683.93024897
KL,F13,"",660909.381447964|6761705.96233923
KL,F14,"",660925.537666727|6761732.34845081
KL,F15,"",660941.35455543|6761754.25788886
KL,F16,"",660957.762957677|6761775.07892533
KL,F17,Stake Broken,660974.950285352|6761802.62745964
KL,F18,"",660991.899425117|6761823.47323388
KL,F19,Stake Broken,661008.206082614|6761846.52060415
KL,F20,"",661026.424413917|6761875.2316018
KL,G0,"",660696.795602601|6761382.91121047
KL,G1,"",660715.52362223|6761400.49005262
KL,G2,"",660733.457930963|6761423.6096989
KL,G3,"",660751.88276775|6761447.86702523
KL,G4,"",660769.917518708|6761468.76076823
KL,G5,"",660788.782128868|6761495.26892972
KL,G6,"",660807.494997687|6761525.11633676
KL,G7,"",660826.510462418|6761548.28556699
KL,G8,"",660845.677154036|6761568.11576324
KL,G9,"",660860.412923156|6761589.97571484
KL,G10,"",660880.560594637|6761612.08130972
KL,G11,"",660895.382549073|6761643.98338839
KL,G12,"",660915.038991554|6761664.95158038
KL,G13,"",660928.438878108|6761692.32793062
KL,G14,"",660946.370199933|6761715.44869817
KL,G15,"",660961.155205164|6761736.19604207
KL,G16,"",660979.627260657|6761759.34155555
KL,G17,"",660994.953055194|6761780.11362013
KL,G18,"",661012.731808737|6761806.5738729
KL,G19,"",661030.661955348|6761829.69508423
KL,G20,"",661044.363599402|6761850.39362689
KL,G21,"",661062.971090135|6761882.46853534
KL,H0,"",660727.623547955|6761360.88647352
KL,H1,"",660743.241654935|6761387.24717276
KL,H2,"",660761.565711304|6761413.73064218
KL,H3,Stake Broken,660778.316245103|6761439.02753601
KL,H4,"",660801.171512003|6761461.25537145
KL,H5,"",660815.417309067|6761481.97753145
KL,H6,"",660835.024700319|6761504.05830535
KL,H7,"",660852.365958683|6761528.26706828
KL,H8,"",660873.986213159|6761553.78542103
KL,H9,"",660895.115442382|6761578.16630374
KL,H10,"",660905.809822162|6761605.41975834
KL,H11,"",660923.640740428|6761630.76649352
KL,H12,"",660939.847782929|6761656.03961956
KL,H13,"",660955.715506843|6761676.8360711
KL,H14,"",660971.532500311|6761698.74564196
KL,H15,"",660995.553474907|6761731.06590173
KL,H16,"",661004.536703405|6761748.20396251
KL,H17,"",661020.894231822|6761770.13834092
KL,H18,"",661036.659808052|6761793.16126019
KL,H19,"",661056.365114701|6761813.01721589
KL,H20,"",661069.813839712|6761839.28108147
KL,I0,"",660747.778238315|6761335.03209179
KL,I1,"",660766.643819102|6761361.54012069
KL,I2,"",660785.761466634|6761382.48301906
KL,I3,"",660802.41104925|6761410.00612071
KL,I4,"",660821.96847522|6761433.1998616
KL,I5,"",660840.342188952|6761458.57070349
KL,I6,"",660857.192934304|6761481.64188806
KL,I7,"",660875.075399123|6761505.87531676
KL,I8,"",660893.448321537|6761531.24644562
KL,I9,"",660910.789047899|6761555.45550204
KL,I10,"",660930.835598266|6761579.78747563
KL,I11,"",660945.469756578|6761603.87388039
KL,I12,"",660968.17127546|6761629.44196111
KL,I13,"",660982.804951059|6761653.52852718
KL,I14,"",660996.457103851|6761675.33991403
KL,I15,"",661011.191471779|6761697.20051286
KL,I16,"",661030.052973484|6761723.71000392
KL,I17,"",661046.461040995|6761744.53145552
KL,I18,"",661062.125456893|6761769.78057785
KL,I19,"",661076.36837497|6761790.50382903
KL,I20,"",661091.642900461|6761812.38936616
KL,I21,"",661113.80076343|6761837.93382513
KL,J0,"",660769.189837725|6761329.31083277
KL,J1,"",660787.527999477|6761343.52637284
KL,J2,"",660806.934491467|6761370.05916459
KL,J3,"",660831.211859053|6761396.81301675
KL,J4,"",660849.145472461|6761419.93325806
KL,J5,"",660865.216892278|6761436.27709284
KL,J6,Stake Broken,660886.043927427|6761467.3361873
KL,J7,"",660903.43557014|6761490.43215536
KL,J8,"",660921.317683705|6761514.66582234
KL,J9,"",660939.791286209|6761537.81110484
KL,J10,"",660956.438869145|6761565.33495936
KL,J11,"",660973.778995249|6761589.54433263
KL,J12,"",660991.761165243|6761611.55227932
KL,J13,Stake Broken,661012.449135846|6761633.68321218
KL,J14,"",661026.000096972|6761657.72080399
KL,J15,"",661045.89357088|6761685.39258361
KL,J16,"",661063.925336338|6761706.28786593
KL,J17,"",661084.071079199|6761728.39464551
KL,J18,"",661099.244710694|6761752.50630012
KL,J19,"",661115.060474061|6761774.41652928
KL,J20,"",661134.173712692|6761795.36137131
KL,K0,"",660796.229906899|6761307.11489754
KL,K1,"",660813.82491825|6761325.75821644
KL,K2,"",660834.804593057|6761353.47785165
KL,K3,MEL,5223035.89156277|-19995929.6093672
KL,K4,"",660869.098801215|6761398.53174299
KL,K5,"",660886.642445964|6761418.28848229
KL,K6,"",660908.263217633|6761443.80703597
KL,K7,"",660929.934187307|6761468.21268054
KL,K8,"",660943.334861905|6761495.58907426
KL,K9,"",660963.771211826|6761523.28493606
KL,K10,"",660980.772451817|6761543.01758781
KL,K11,"",661004.607141492|6761567.52200058
KL,K12,"",661022.488154682|6761591.756194
KL,K13,"",661042.48319165|6761617.20185769
KL,K14,"",661057.318691055|6761636.83655827
KL,K15,"",661076.873139442|6761660.03174902
KL,K16,"",661095.243775534|6761685.40395719
KL,K17,"",661115.591793517|6761703.05873935
KL,K18,"",661136.278446072|6761725.19041413
KL,K19,Stake Broken,661154.005913928|6761752.76442869
KL,K20,"",661170.903723856|6761774.72411261
KL,L0,"",660821.394123712|6761290.41075104
KL,L1,"",660839.920149176|6761312.44243747
KL,L2,"",660859.138672049|6761331.15963971
KL,L3,driveway,5223035.89156277|-19995929.6093672
KL,L4,"",660897.019519513|6761380.83787123
KL,L5,"",660912.838364563|6761402.74715209
KL,L6,"",660931.312676507|6761425.89237961
KL,L7,"",660952.492910211|6761449.1605509
KL,L8,"",660970.425473359|6761472.28142092
KL,L9,"",660988.458869353|6761493.17629499
KL,L10,"",661008.995989493|6761518.64633154
KL,L11,"",661027.028907467|6761539.54140886
KL,L12,"",661044.505478813|6761572.68007189
KL,L13,"",661063.468626972|6761596.96364297
KL,L14,"",661082.482074999|6761620.13427521
KL,L15,"",661100.564583411|6761639.91669679
KL,L16,"",661119.476378577|6761665.31362307
KL,L17,"",661136.309003262|6761700.6542553
KL,M0,"",660845.728502572|6761268.09244335
KL,M1,Stake Broken,660862.933708965|6761283.37231448
KL,M2,"",660883.184303065|6761303.25180253
KL,M3,"",660903.571852582|6761332.06033771
KL,M4,"",660919.138338204|6761359.53487311
KL,M5,"",660938.406710282|6761377.139469
KL,M6,"",660953.431461502|6761404.58959564
KL,M7,"",660973.428160177|6761430.03484491
KL,M8,"",660993.085482011|6761451.00345598
KL,M9,"",661010.476552568|6761474.09995712
KL,M10,"",661031.215853062|6761495.11794263
KL,M11,"",661050.80697994|6761529.46800317
KL,M12,"",661066.082944346|6761551.35340809
KL,M13,"",661086.720297491|6761574.5978192
KL,M14,"",661106.325525274|6761596.68012483
KL,M15,"",661122.192622117|6761617.47733006
KL,M16,Stake Broken,661144.301047441|6761644.13500595
KL,N0,"",660874.292308231|6761248.19684114
KL,N1,"",660884.648844499|6761270.97346782
KL,N2,"",660907.692371159|6761301.01786215
KL,N3,"",660923.612588476|6761320.70109394
KL,N4,"",660944.252317088|6761343.94464046
KL,N5,"",660959.580351242|6761364.71651787
KL,N6,"",660979.865837762|6761395.75159726
KL,N7,"",660997.307837062|6761417.73498268
KL,N8,"",661015.341393272|6761438.62999091
KL,N9,"",661035.828133587|6761465.21322499
KL,N10,"",661053.760088939|6761488.33452524
KL,N11,"",661071.150575927|6761511.43133255
KL,N12,"",661090.705713215|6761534.626589
KL,N13,"",661108.58635498|6761558.86122172
KL,N14,"",661131.33767009|6761583.31731409
KL,N15,"",661150.40137121|6761605.37527145
KL,N16,"",661174.538091603|6761623.20258708
KL,O0,"",660893.099341064|6761240.12744601
KL,O1,"",660904.061874036|6761249.54757911
KL,O2,"",660921.454617019|6761272.64361851
KL,O3,"",660944.851479882|6761294.89693842
KL,O4,"",660963.816954108|6761319.17994153
KL,O5,"",660983.323408935|6761343.48762348
KL,O6,"",661001.696552736|6761368.85930899
KL,O7,"",661017.413752028|6761392.99515421
KL,O8,"",661029.139851303|6761421.41118473
KL,O9,"",661046.682529144|6761441.16872983
KL,O10,"",661063.430968081|6761466.46700049
KL,O11,"",661080.770949944|6761490.67689842
KL,O12,"",661115.227558706|6761520.1260256
KL,O13,"",661162.571671225|6761552.39198972
KL,O14,"",661200.406394526|6761555.22732374
KL,P0,"",660915.21892019|6761218.82441388
KL,P1,"",660928.144485373|6761232.79505586
KL,P2,"",660947.904311205|6761251.53730322
KL,P3,"",660969.966008083|6761279.30688066
